time	temperature	pressure	humidity	altitude
2019-11-27T09:53:26.233Z	21.75	980.36	53.66	277.67
2019-11-27T09:54:26.988Z	21.79	980.32	53.17	277.67
2019-11-27T09:55:27.742Z	21.82	980.34	53.11	277.67
2019-11-27T09:56:28.493Z	21.83	980.34	53.10	277.84
2019-11-27T09:57:29.242Z	21.84	980.38	53.07	276.99
2019-11-27T09:58:29.986Z	21.85	980.40	53.00	277.16
2019-11-27T09:59:30.728Z	21.86	980.40	52.90	277.16
2019-11-27T10:00:31.468Z	21.86	980.40	52.94	277.33
2019-11-27T10:01:32.208Z	21.86	980.40	52.85	277.33
2019-11-27T10:02:32.947Z	21.86	980.40	52.80	277.33
2019-11-27T10:03:33.690Z	21.86	980.38	52.74	277.50
2019-11-27T10:04:34.434Z	21.87	980.36	52.68	277.50
2019-11-27T10:05:35.178Z	21.87	980.36	52.65	277.67
2019-11-27T10:06:35.923Z	21.88	980.36	52.60	277.33
2019-11-27T10:07:36.668Z	21.89	980.34	52.58	277.50
2019-11-27T10:08:37.411Z	21.89	980.34	52.58	277.67
2019-11-27T10:09:38.155Z	21.90	980.36	52.55	277.33
2019-11-27T10:10:38.896Z	21.90	980.34	52.54	277.50
2019-11-27T10:11:39.641Z	21.90	980.34	52.54	277.67
2019-11-27T10:12:40.382Z	21.90	980.32	52.55	277.67
2019-11-27T10:13:41.131Z	21.90	980.32	52.56	278.02
2019-11-27T10:14:41.878Z	21.89	980.26	52.54	278.19
2019-11-27T10:15:42.624Z	21.90	980.28	52.52	278.02
2019-11-27T10:16:43.372Z	21.90	980.28	52.47	278.02
2019-11-27T10:17:44.120Z	21.90	980.26	52.46	278.36
2019-11-27T10:18:44.865Z	21.91	980.24	52.44	278.53
2019-11-27T10:19:45.611Z	21.91	980.24	52.43	278.53
2019-11-27T10:20:46.357Z	21.91	980.22	52.42	278.53
2019-11-27T10:21:47.106Z	21.91	980.22	52.38	278.70
2019-11-27T10:22:47.855Z	21.92	980.24	52.40	278.36
2019-11-27T10:23:48.603Z	21.92	980.24	52.35	278.36
2019-11-27T10:24:49.346Z	21.92	980.24	52.36	278.36
2019-11-27T10:25:50.090Z	21.92	980.24	52.38	278.36
2019-11-27T10:26:50.834Z	21.92	980.26	52.31	278.36
2019-11-27T10:27:51.580Z	21.93	980.24	52.28	278.36
2019-11-27T10:28:52.326Z	21.93	980.30	52.26	278.36
2019-11-27T10:29:53.069Z	21.93	980.30	52.27	278.19
2019-11-27T10:30:53.816Z	21.93	980.24	52.28	278.36
2019-11-27T10:31:54.565Z	21.93	980.22	52.33	278.70
2019-11-27T10:32:55.312Z	21.93	980.22	52.33	278.70
2019-11-27T10:33:56.059Z	21.93	980.20	52.34	278.53
2019-11-27T10:34:56.805Z	21.93	980.22	52.33	278.53
2019-11-27T10:35:57.551Z	21.92	980.22	52.38	278.70
2019-11-27T10:36:58.297Z	21.92	980.20	52.38	278.70
2019-11-27T10:37:59.043Z	21.92	980.20	52.36	278.87
2019-11-27T10:38:59.792Z	21.91	980.18	52.41	279.04
2019-11-27T10:40:00.537Z	21.91	980.16	52.40	279.04
2019-11-27T10:41:01.282Z	21.90	980.16	52.40	279.04
2019-11-27T10:42:02.026Z	21.90	980.16	52.42	279.04
2019-11-27T10:43:02.772Z	21.90	980.14	52.38	279.21
2019-11-27T10:44:03.518Z	21.90	980.14	52.36	279.38
2019-11-27T10:45:04.262Z	21.90	980.12	52.38	279.55
2019-11-27T10:46:05.008Z	21.90	980.10	52.36	279.55
2019-11-27T10:47:05.752Z	21.90	980.10	52.38	279.55
2019-11-27T10:48:06.492Z	21.90	980.10	52.38	279.73
2019-11-27T10:49:07.227Z	21.90	980.08	52.33	279.73
2019-11-27T10:50:07.965Z	21.90	980.08	52.35	279.90
2019-11-27T10:51:08.701Z	21.90	980.08	52.34	279.90
2019-11-27T10:52:09.434Z	21.90	980.06	52.31	279.90
2019-11-27T10:53:10.165Z	21.90	980.06	52.25	280.07
2019-11-27T10:54:10.899Z	21.90	980.04	52.28	280.24
2019-11-27T10:55:11.636Z	21.90	980.04	52.28	280.32
2019-11-27T10:56:12.370Z	21.90	980.03	52.27	280.32
2019-11-27T10:57:13.104Z	21.90	980.04	52.24	280.24
2019-11-27T10:58:13.838Z	21.90	980.04	52.23	280.24
2019-11-27T10:59:14.573Z	21.90	980.03	52.20	280.24
2019-11-27T11:00:15.305Z	21.90	980.03	52.20	280.24
2019-11-27T11:01:16.037Z	21.90	980.03	52.18	280.32
2019-11-27T11:02:16.770Z	21.90	980.03	52.15	280.32
2019-11-27T11:03:17.504Z	21.90	980.01	52.14	280.50
2019-11-27T11:04:18.237Z	21.91	979.99	52.10	280.67
2019-11-27T11:05:18.971Z	21.91	979.95	52.06	281.01
2019-11-27T11:06:19.707Z	21.91	979.93	52.06	281.18
2019-11-27T11:07:20.445Z	21.91	979.91	52.06	281.18
2019-11-27T11:08:21.181Z	21.91	979.91	52.03	281.35
2019-11-27T11:09:21.919Z	21.91	979.91	52.00	281.18
2019-11-27T11:10:22.654Z	21.92	979.89	51.95	281.35
2019-11-27T11:11:23.388Z	21.92	979.89	51.97	281.35
2019-11-27T11:12:24.124Z	21.92	979.87	51.95	281.52
2019-11-27T11:13:24.862Z	21.92	979.87	51.96	281.86
2019-11-27T11:14:25.601Z	21.91	979.83	51.96	281.86
2019-11-27T11:15:26.344Z	21.90	979.83	51.92	282.04
2019-11-27T11:16:27.087Z	21.90	979.81	51.90	282.21
2019-11-27T11:17:27.828Z	21.89	979.79	51.86	282.21
2019-11-27T11:18:28.565Z	21.89	979.79	51.88	282.21
2019-11-27T11:19:29.305Z	21.89	979.79	51.84	282.38
2019-11-27T11:20:30.043Z	21.89	979.77	51.85	282.55
2019-11-27T11:21:30.781Z	21.88	979.75	51.81	282.55
2019-11-27T11:22:31.523Z	21.88	979.73	51.83	282.89
2019-11-27T11:23:32.264Z	21.88	979.71	51.78	283.06
2019-11-27T11:24:33.003Z	21.88	979.69	51.72	283.06
2019-11-27T11:25:33.739Z	21.88	979.69	51.74	283.23
2019-11-27T11:26:34.477Z	21.88	979.67	51.75	283.23
2019-11-27T11:27:35.213Z	21.88	979.67	51.73	283.23
2019-11-27T11:28:35.951Z	21.88	979.67	51.69	283.40
2019-11-27T11:29:36.691Z	21.87	979.63	51.62	283.75
2019-11-27T11:30:37.432Z	21.87	979.65	51.65	283.75
2019-11-27T11:31:38.173Z	21.87	979.63	51.64	283.92
2019-11-27T11:32:38.916Z	21.87	979.63	51.61	283.92
2019-11-27T11:33:39.658Z	21.87	979.61	51.63	284.09
2019-11-27T11:34:40.398Z	21.87	979.61	51.58	284.09
2019-11-27T11:35:41.136Z	21.87	979.57	51.56	284.35
2019-11-27T11:36:41.872Z	21.88	979.57	51.55	284.09
2019-11-27T11:37:42.609Z	21.88	979.56	51.54	284.35
2019-11-27T11:38:43.348Z	21.88	979.54	51.52	284.52
2019-11-27T11:39:44.087Z	21.88	979.52	51.49	285.63
2019-11-27T11:40:44.828Z	21.87	979.50	51.51	285.63
2019-11-27T11:41:45.565Z	21.87	979.50	51.46	285.63
2019-11-27T11:42:46.304Z	21.87	979.41	51.47	285.63
2019-11-27T11:43:47.042Z	21.87	979.41	51.40	285.80
2019-11-27T11:44:47.779Z	21.87	979.41	51.37	285.80
2019-11-27T11:45:48.514Z	21.87	979.39	51.38	285.97
2019-11-27T11:46:49.249Z	21.87	979.39	51.37	285.97
2019-11-27T11:47:49.981Z	21.87	979.37	51.41	285.97
2019-11-27T11:48:50.715Z	21.87	979.35	51.40	286.14
2019-11-27T11:49:51.451Z	21.87	979.33	51.38	286.31
2019-11-27T11:50:52.185Z	21.86	979.33	51.36	286.49
2019-11-27T11:51:52.922Z	21.85	979.30	51.33	286.57
2019-11-27T11:52:53.654Z	21.84	979.31	51.36	286.49
2019-11-27T11:53:54.390Z	21.83	979.30	51.31	286.74
2019-11-27T11:54:55.127Z	21.83	979.30	51.26	286.57
2019-11-27T11:55:55.864Z	21.82	979.26	51.28	286.91
2019-11-27T11:56:56.599Z	21.81	979.26	51.29	286.91
2019-11-27T11:57:57.333Z	21.81	979.26	51.28	286.91
2019-11-27T11:58:58.070Z	21.80	979.26	51.28	286.91
2019-11-27T11:59:58.809Z	21.80	979.24	51.25	287.08
2019-11-27T12:00:59.545Z	21.80	979.22	51.24	287.26
2019-11-27T12:02:00.280Z	21.80	979.22	51.24	287.60
2019-11-27T12:03:01.015Z	21.79	979.16	51.20	287.60
2019-11-27T12:04:01.750Z	21.79	979.16	51.19	287.60
2019-11-27T12:05:02.490Z	21.79	979.14	51.15	287.77
2019-11-27T12:06:03.226Z	21.79	979.14	51.18	287.94
2019-11-27T12:07:03.964Z	21.78	979.12	51.08	287.94
2019-11-27T12:08:04.698Z	21.77	979.10	51.11	288.28
2019-11-27T12:09:05.431Z	21.77	979.08	51.11	288.28
2019-11-27T12:10:06.169Z	21.77	979.08	51.10	288.45
2019-11-27T12:11:06.905Z	21.77	979.06	51.01	288.45
2019-11-27T12:12:07.641Z	21.77	979.04	51.00	288.45
2019-11-27T12:13:08.380Z	21.78	979.04	51.04	288.62
2019-11-27T12:14:09.119Z	21.78	979.04	51.02	288.80
2019-11-27T12:15:09.858Z	21.78	979.04	50.94	288.62
2019-11-27T12:16:10.591Z	21.78	979.04	50.97	288.80
2019-11-27T12:17:11.327Z	21.77	979.00	50.97	288.97
2019-11-27T12:18:12.061Z	21.77	979.00	50.92	288.97
2019-11-27T12:19:12.795Z	21.76	979.00	50.98	288.97
2019-11-27T12:20:13.531Z	21.76	978.98	50.95	289.14
2019-11-27T12:21:14.271Z	21.76	978.98	50.92	289.14
2019-11-27T12:22:15.008Z	21.76	978.98	50.92	289.31
2019-11-27T12:23:15.751Z	21.75	978.96	50.86	289.31
2019-11-27T12:24:16.492Z	21.74	978.94	50.92	289.48
2019-11-27T12:25:17.236Z	21.74	978.94	50.89	289.48
2019-11-27T12:26:17.977Z	21.74	978.90	50.90	289.99
2019-11-27T12:27:18.718Z	21.74	978.92	50.86	289.65
2019-11-27T12:28:19.460Z	21.73	978.90	50.85	290.17
2019-11-27T12:29:20.203Z	21.73	978.88	50.88	290.17
2019-11-27T12:30:20.943Z	21.73	978.86	50.87	290.34
2019-11-27T12:31:21.681Z	21.72	978.86	50.84	290.51
2019-11-27T12:32:22.419Z	21.72	978.84	50.87	290.68
2019-11-27T12:33:23.156Z	21.72	978.82	50.85	290.85
2019-11-27T12:34:23.893Z	21.72	978.80	50.84	290.94
2019-11-27T12:35:24.632Z	21.72	978.79	50.82	290.94
2019-11-27T12:36:25.369Z	21.72	978.79	50.87	291.45
2019-11-27T12:37:26.108Z	21.71	978.73	50.85	291.45
2019-11-27T12:38:26.844Z	21.71	978.71	50.85	291.79
2019-11-27T12:39:27.580Z	21.71	978.69	50.81	291.96
2019-11-27T12:40:28.316Z	21.71	978.67	50.77	292.13
2019-11-27T12:41:29.053Z	21.71	978.65	50.81	292.13
2019-11-27T12:42:29.793Z	21.70	978.65	50.76	292.31
2019-11-27T12:43:30.535Z	21.70	978.61	50.79	292.48
2019-11-27T12:44:31.273Z	21.69	978.61	50.75	292.65
2019-11-27T12:45:32.011Z	21.69	978.57	50.77	293.16
2019-11-27T12:46:32.752Z	21.69	978.53	50.75	293.33
2019-11-27T12:47:33.490Z	21.69	978.49	50.74	293.68
2019-11-27T12:48:34.229Z	21.69	978.45	50.73	294.19
2019-11-27T12:49:34.968Z	21.69	978.43	50.75	294.19
2019-11-27T12:50:35.706Z	21.69	978.41	50.72	294.36
2019-11-27T12:51:36.439Z	21.69	978.39	50.72	294.53
2019-11-27T12:52:37.176Z	21.68	978.35	50.73	294.88
2019-11-27T12:53:37.912Z	21.68	978.33	50.73	294.88
2019-11-27T12:54:38.654Z	21.68	978.33	50.71	295.22
2019-11-27T12:55:39.395Z	21.68	978.27	50.68	295.56
2019-11-27T12:56:40.133Z	21.68	978.25	50.68	295.65
2019-11-27T12:57:40.872Z	21.67	978.25	50.68	295.56
